Question Number,Initials,Email,Location,Duration,Format,Questioner,Question Type,Difficulty,Asked At,Question Date,Question Time,Question Half Hour,Question Weekday,Added At (GMT),Tags,Site,Account,Question,Answer
16696,slk,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,3 - Simple Strategy (Reference),"",2012-07-01 12:59:00 PM,2012-07-01,12:59:00 PM,01:00:00 PM,Sunday,2012-07-01 19:59:58 GMT,"",King Library Reference,King Reference,Who coached the SF Giants in the last World Series,Bruce Bochy
16697,slk,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,3 - Simple Strategy (Reference),"",2012-07-01 01:08:00 PM,2012-07-01,01:08:00 PM,01:00:00 PM,Sunday,2012-07-01 20:08:56 GMT,"",King Library Reference,King Reference,Do we have Russian English Dictionaries?,Showed him our Oxford Russian dictionary in Reference
16698,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,2 - Wireless,"",2012-07-01 01:13:00 PM,2012-07-01,01:13:00 PM,01:00:00 PM,Sunday,2012-07-01 20:13:24 GMT,"",King Library Reference,King Reference,Not picking up King Library ,""
16699,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,1 - Directional,"",2012-07-01 01:15:00 PM,2012-07-01,01:15:00 PM,01:00:00 PM,Sunday,2012-07-01 20:15:30 GMT,"",King Library Reference,King Reference,Chinese Language Collections,3rd floor
16700,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,2 - Wireless,"",2012-07-01 01:28:00 PM,2012-07-01,01:28:00 PM,01:30:00 PM,Sunday,2012-07-01 20:28:28 GMT,"",King Library Reference,King Reference,no MLK Library wireless,SJSU_Campus is the wireless for now
16701,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,2 - Printing,"",2012-07-01 01:28:00 PM,2012-07-01,01:28:00 PM,01:30:00 PM,Sunday,2012-07-01 20:28:48 GMT,"",King Library Reference,King Reference,How can I pritn from USB,Print from disc station
16702,KH,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Technical (Equipment &amp; Basic OPAC),"",2012-07-01 01:37:00 PM,2012-07-01,01:37:00 PM,01:30:00 PM,Sunday,2012-07-01 20:37:20 GMT,scan,King Library Reference,King Reference,Can you help me scan some documents?,""
16703,KH,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,2 - Wireless,"",2012-07-01 01:38:00 PM,2012-07-01,01:38:00 PM,01:30:00 PM,Sunday,2012-07-01 20:38:24 GMT,wireless,King Library Reference,King Reference,I can't connect to the wireless internet,"There was a problem with his browser, but he finally got it to work. :)"
16704,tas,kinglibraryreference@gmail.com,2nd Floor,6-15 minutes,In-Person,SJPL Librarian,2 - Printing,"",2012-07-01 01:42:00 PM,2012-07-01,01:42:00 PM,01:30:00 PM,Sunday,2012-07-01 20:42:26 GMT,student Business,King Library Reference,King Reference,"Trying to get PDF from D2L, none of our computers are working","consultation computers are also not working, so used one of the ref desk computers"
16705,KH,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,3 - Simple Strategy (Reference),"",2012-07-01 01:47:00 PM,2012-07-01,01:47:00 PM,02:00:00 PM,Sunday,2012-07-01 20:47:39 GMT,research,King Library Reference,King Reference,What is the current national debt?,Found the information on the US Treasury's website.
16706,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,1 - Directional,"",2012-07-01 02:04:00 PM,2012-07-01,02:04:00 PM,02:00:00 PM,Sunday,2012-07-01 21:04:22 GMT,"",King Library Reference,King Reference,reshelving cart?,I can take that.
16707,tas,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJPL Librarian,1 - Directional,"",2012-07-01 02:04:00 PM,2012-07-01,02:04:00 PM,02:00:00 PM,Sunday,2012-07-01 21:04:57 GMT,RAC,King Library Reference,King Reference,"",""
16708,KH,kinglibraryreference@gmail.com,2nd Floor,0-5 minutes,In-Person,SJSU Staff,3 - Simple Strategy (Reference),"",2012-07-01 02:07:00 PM,2012-07-01,02:07:00 PM,02:00:00 PM,Sunday,2012-07-01 21:07:09 GMT,email,King Library Reference,King Reference,Do you have any books on email?,""
